start	end	text
0	29880	One evening this spring, as part of a student-run lecture series, two man-vide
29880	35160	for the souls of students who packed MIT's Cresky Auditorium. They were Dr. Timothy Leary,
35160	40760	founder of the League for Spiritual Discovery, which advocates LSD as a religious sacrament,
40760	46160	and MIT professor Jerome Letvin, who thinks of Dr. Leary as an agent of the devil. Timothy
46160	51440	Leary began experiments with LSD as a lecturer in psychology at Harvard, Harvard dismissed
51440	58440	him in 1963. He is now out on a $30,000 bond for possession of marijuana. Dr. Leary spoke
58440	62840	first, mainly in darkness, while psychedelic effects were projected on the screen behind
62840	68160	him. We have recreated these effects in color.
68160	82080	I am beginning tonight's ceremony by offering this chalice, which I am drinking to all
82080	94920	of us. The chalice contains a powerful and dangerous chemical given to me by the Boston
94920	110600	water supply. It's odorless, colorless, tasteless. It's addictive. As a matter of fact,
110600	121280	if you get hooked on it and they take it away from you, you crawl in your hands and knees,
121280	130600	and your tongue gets black, and your eyes bow. It's also a dangerous chemical. You have
130600	134400	to know how to use it, too much of it in wrong place, like in your lungs, and will kill
134400	145040	you. Ten feet of it coming over your rowboat. Maybe we should pass a law against it because
145040	150800	it's so dangerous and so addictive. Maybe only scientists should be allowed to play
150800	157880	with it. Or maybe we could learn how to teach our kids how to use it, in which case they'll
157880	166120	discover that water has many uses, and indeed has been used for thousands of years, for
166120	174480	billions of years, as a way of life. It's also been used for thousands of years as a
174480	182040	sacrament. Now you know what a sacrament is. A sacrament is a psychedelic technique. It's
182040	186760	something that you're used to get high. Get high? Yes. A sacrament is something that gets
186760	195640	you high. It gets you off the television stage set. Pretty solid here. Amazing how solid
195640	206320	they make these sets these days. It gets you off the fake prop television stage set of MIT
206320	211880	Cambridge Massachusetts United States America, and reminds you that you're not just a college
211880	221120	student. You're not just 22 or 23 or 24 years old. You're two billion years old. Had you
221120	229120	forgotten that? In fact, water can remind you where you came from. Remember you spent nine months
229120	236240	in a watery medium. First nine months, this trip on this planet. Remember all that sloshing?
236240	251520	Now, could we have the lights out now, please? I opened my ceremony. Could I have all the lights out, please?
251520	275000	You're going to see on the screen, home movies, and slide projections of little travels and
275000	285800	trips that we take. The slides give you the LSD experience from the inside and the movies present
287800	296680	the observers view of an LSD trip from the outside. The movies are unedited film that's been shot
296680	299960	minute after minute hour after hour during LSD.
